birdX,birdY,uppperPipeX,upperPipeY,lowerPipeX,lowerPipeY,action
57,179,70,-166,70,254,0
57,184,66,-166,66,254,0
57,190,62,-166,62,254,0
57,197,58,-166,58,254,0
57,205,54,-166,54,254,0
57,196,50,-166,50,254,1
57,188,46,-166,46,254,0
57,181,42,-166,42,254,0
57,175,38,-166,38,254,0
57,170,34,-166,34,254,0
57,166,30,-166,30,254,0
57,163,26,-166,26,254,0
57,161,22,-166,22,254,0
57,160,18,-166,18,254,0
57,160,14,-166,14,254,0
57,161,10,-166,10,254,0
57,163,6,-166,6,254,0
57,166,2,-166,2,254,0
57,170,-2,-166,-2,254,0
57,175,-6,-166,-6,254,0
57,181,-10,-166,-10,254,0
57,188,-14,-166,-14,254,0
57,196,-18,-166,-18,254,0
57,205,-22,-166,-22,254,0
57,215,-26,-166,-26,254,0
57,206,-30,-166,-30,254,1
57,198,-34,-166,-34,254,0
57,191,-38,-166,-38,254,0
57,185,-42,-166,-42,254,0
57,180,-46,-166,-46,254,0
57,176,-50,-166,-50,254,0
57,167,90,-212,90,208,1
57,159,86,-212,86,208,0
57,152,82,-212,82,208,0
57,146,78,-212,78,208,0
57,141,74,-212,74,208,0
57,137,70,-212,70,208,0
57,134,66,-212,66,208,0
57,132,62,-212,62,208,0
57,131,58,-212,58,208,0
57,131,54,-212,54,208,0
57,132,50,-212,50,208,0
57,134,46,-212,46,208,0
57,137,42,-212,42,208,0
57,141,38,-212,38,208,0
57,146,34,-212,34,208,0
57,152,30,-212,30,208,0
57,159,26,-212,26,208,0
57,167,22,-212,22,208,0
57,158,18,-212,18,208,1
57,150,14,-212,14,208,0
57,143,10,-212,10,208,0
57,137,6,-212,6,208,0
57,132,2,-212,2,208,0
57,128,-2,-212,-2,208,0
57,125,-6,-212,-6,208,0
57,123,-10,-212,-10,208,0
57,122,-14,-212,-14,208,0
57,122,-18,-212,-18,208,0
57,123,-22,-212,-22,208,0
57,125,-26,-212,-26,208,0
57,128,-30,-212,-30,208,0
57,132,-34,-212,-34,208,0
57,137,-38,-212,-38,208,0
57,143,-42,-212,-42,208,0
57,150,-46,-212,-46,208,0
57,158,-50,-212,-50,208,0
57,167,98,-168,98,252,0
57,177,94,-168,94,252,0
57,187,90,-168,90,252,0
57,178,86,-168,86,252,1
57,170,82,-168,82,252,0
57,163,78,-168,78,252,0
57,157,74,-168,74,252,0
57,152,70,-168,70,252,0
57,148,66,-168,66,252,0
57,148,66,-168,66,252,0
